Artist,Title,prepText,allText
"Debate Club - Égarements, Vol. 1",Gayance - Mascarade, stephanie osorio fruta del corazon yannick nézetséguin lorchestre métropolitain sibelius greenhouse ensemble rezdechaussée marcandré pépin arômes de jazz,"Debate Club - Égarements, Vol. 1 Gayance - Mascarade  stephanie osorio fruta del corazon yannick nézetséguin lorchestre métropolitain sibelius greenhouse ensemble rezdechaussée marcandré pépin arômes de jazz"
Huriel - I,Orchestre Symphonique de Montréal - Mahler, claude lanthrope ontologie des ombres jeanmichel blais sérénades grand héron la fin est croche thierry larose sprint,Huriel - I Orchestre Symphonique de Montréal - Mahler  claude lanthrope ontologie des ombres jeanmichel blais sérénades grand héron la fin est croche thierry larose sprint
Le Vent du Nord - Les voix du vent avec cordes et piano,Alain Lefèvre - Paris Memories, siderum all phenomena are empty and selfless excavation poésie ranger lhiver jeanfrançois janvier le manège teenage witch maintenant ou jamais,Le Vent du Nord - Les voix du vent avec cordes et piano Alain Lefèvre - Paris Memories  siderum all phenomena are empty and selfless excavation poésie ranger lhiver jeanfrançois janvier le manège teenage witch maintenant ou jamais
Madiba King - Faudrait ben,Various Artists - La Voix 2023, joly deuil double date with death portraits étienne lessard tomber le monde tom chicoine moteur super sport,Madiba King - Faudrait ben Various Artists - La Voix 2023  joly deuil double date with death portraits étienne lessard tomber le monde tom chicoine moteur super sport
Cubby V - Lustrum,Anne Bisson - Be My Lover, joseph stephen retour aux sources okapi sordo blesse normal philippe tremblay premier arrêt,Cubby V - Lustrum Anne Bisson - Be My Lover  joseph stephen retour aux sources okapi sordo blesse normal philippe tremblay premier arrêt
Matt Holubowski - Like Flowers on a Molten Lawn,Keith Kouna - Métastases, n nao leau et les rêves terrible tango negative space tina leon pull banc dparc le cirque,Matt Holubowski - Like Flowers on a Molten Lawn Keith Kouna - Métastases  n nao leau et les rêves terrible tango negative space tina leon pull banc dparc le cirque
Simon Daniel - Sans titre (for now),Joseph Carré - Magique! (Deluxe Version), simon boisseau le déjeuner grand public idéal tempo rémi cormier glimpse jorgensen critical hits,Simon Daniel - Sans titre (for now) Joseph Carré - Magique! (Deluxe Version)  simon boisseau le déjeuner grand public idéal tempo rémi cormier glimpse jorgensen critical hits
Lev - Shesh-Besh,Les Gars du Nord - Les fils du père, no cosmos you iii everything else quatuor molinari lumières nordiques mirebelle mirebelle milanku à laube,Lev - Shesh-Besh Les Gars du Nord - Les fils du père  no cosmos you iii everything else quatuor molinari lumières nordiques mirebelle mirebelle milanku à laube
Super Plage - Magie à minuit,Alexandra Stréliski - Néo-Romance, philippe brach les gens quon aime marianne gavin mille lunes bluebird myrtle avenue ric wilson chromeo atrak clusterfunk,Super Plage - Magie à minuit Alexandra Stréliski - Néo-Romance  philippe brach les gens quon aime marianne gavin mille lunes bluebird myrtle avenue ric wilson chromeo atrak clusterfunk
Heïka - Good Good,Various Artists - C'est notre histoire, émilieclaire barlow spark bird festival international de la chanson de granby jamais trop tôt vol pako nanto maten utenat,Heïka - Good Good Various Artists - C'est notre histoire  émilieclaire barlow spark bird festival international de la chanson de granby jamais trop tôt vol pako nanto maten utenat
Son Cinéma - Like a Ghost Into the Fog,Murray A. Lightburn - Once Upon A Time in Montreal, mobile roadmap to redemption larche jaurais voulu rester plus longtempsavril hugo lapointe racines qc ginette reno cest tout moi,Son Cinéma - Like a Ghost Into the Fog Murray A. Lightburn - Once Upon A Time in Montreal  mobile roadmap to redemption larche jaurais voulu rester plus longtempsavril hugo lapointe racines qc ginette reno cest tout moi
Éléonore Lagacé - Elle s'en fout,Oli Laroche - Nous sommes tous des animaux, mon amie souffrance club social kanen mitshuap les lunatiques orange flottant spicer lovejoy nothing is better than everything,Éléonore Lagacé - Elle s'en fout Oli Laroche - Nous sommes tous des animaux  mon amie souffrance club social kanen mitshuap les lunatiques orange flottant spicer lovejoy nothing is better than everything
Hert Leblanc - Moi chu juste en vie,Et on déjeune - Dans l'eau, pierreluc brillant des compositions beaux lieux sur le seuil hugo bolduc sonder le sens ignominy imminent collapse,Hert Leblanc - Moi chu juste en vie Et on déjeune - Dans l'eau  pierreluc brillant des compositions beaux lieux sur le seuil hugo bolduc sonder le sens ignominy imminent collapse
Jacob Molotov - Tout le plaisir est pour moi,Chantal Campeau - Au bout du tunnel, dom gouin dom gouin sam thellend léquilibre chaloupe chaloupe joseph avalé printemps,Jacob Molotov - Tout le plaisir est pour moi Chantal Campeau - Au bout du tunnel  dom gouin dom gouin sam thellend léquilibre chaloupe chaloupe joseph avalé printemps
Frais Dispo - Teinte,Sala - Surface, marc bourdeau montréal musica antoine aspirine vacances sam krüger the songs i write in my bedroom acoustic zombie life mon cœur éclore au matin,Frais Dispo - Teinte Sala - Surface  marc bourdeau montréal musica antoine aspirine vacances sam krüger the songs i write in my bedroom acoustic zombie life mon cœur éclore au matin
Marcus Wilcour - Maison pleine et papiers peints,Bruce Liu - J.S. Bach, playfull mess another man violett pi baloney suicide hippie hourrah exposition individuelle sylvie boulianne desfois cest moi,Marcus Wilcour - Maison pleine et papiers peints Bruce Liu - J.S. Bach  playfull mess another man violett pi baloney suicide hippie hourrah exposition individuelle sylvie boulianne desfois cest moi
Roxane Reddy - Jaywalking,Hugo Blouin - Sport national, oli féra les amours chronophages auguste le bruit des saisons gaël beauchamp tu choisis pas toujours melissa pipe sextet of what remains,Roxane Reddy - Jaywalking Hugo Blouin - Sport national  oli féra les amours chronophages auguste le bruit des saisons gaël beauchamp tu choisis pas toujours melissa pipe sextet of what remains
Emmanuel Travis - DOPAMINE,Safia Nolin - Apple Music Home Session, les barocudas basta parlare trudy go solo 2frères 2frères à langlicane le husky un zoo la nuit,Emmanuel Travis - DOPAMINE Safia Nolin - Apple Music Home Session  les barocudas basta parlare trudy go solo 2frères 2frères à langlicane le husky un zoo la nuit
"Héra Ménard - Wild Flowers, Side A",Vivresse - 02022020, raphaël butler tattoo de coeur zoon bekka maiingan jessica paradis métissage braids euphoric recall,"Héra Ménard - Wild Flowers, Side A Vivresse - 02022020  raphaël butler tattoo de coeur zoon bekka maiingan jessica paradis métissage braids euphoric recall"
Lwazo Sirois & le Dernier Rodéo - Chacun pour soi,Jean-François Groulx - Myo, les voix humaines anguille sous roche blanche baillargeon le nid meghan oak dans la lune jace tu mfais brillermai,Lwazo Sirois & le Dernier Rodéo - Chacun pour soi Jean-François Groulx - Myo  les voix humaines anguille sous roche blanche baillargeon le nid meghan oak dans la lune jace tu mfais brillermai
Valery Vaughn - gris,Gabryel - Humain, dans lshed la nouvelle saison west trainz rail nomads vïc aux petits oiseaux pastel barbo microcosme,Valery Vaughn - gris Gabryel - Humain  dans lshed la nouvelle saison west trainz rail nomads vïc aux petits oiseaux pastel barbo microcosme
Livernoche - La mère du vent,Les frères Goyette - Prudence est Denise, frédéric marcotte léchange bob bissonnette live à limpérial de québec vendôme la fable de la grenouille dorée ripé le rocket scientist dalma,Livernoche - La mère du vent Les frères Goyette - Prudence est Denise  frédéric marcotte léchange bob bissonnette live à limpérial de québec vendôme la fable de la grenouille dorée ripé le rocket scientist dalma
Vvon Dogma I - The Kvlt of Glitch,They Call Me Rico - Wheel of Love, miron noir tant dartifices en écho zoe sanders femme ou fantaisie bb puma circé siluja siluja,Vvon Dogma I - The Kvlt of Glitch They Call Me Rico - Wheel of Love  miron noir tant dartifices en écho zoe sanders femme ou fantaisie bb puma circé siluja siluja
Les Chiens de Ruelle - Deux pas de plus vers nul'part,François-Félix Roy - Peines perdues, lisle ariane brunet soif kreise miraculeuse dominic dagenais la misère des riches hauterive hauterive,Les Chiens de Ruelle - Deux pas de plus vers nul'part François-Félix Roy - Peines perdues  lisle ariane brunet soif kreise miraculeuse dominic dagenais la misère des riches hauterive hauterive
